video,env,short_rate_per_min,short_mean_dur_s,short_ibi_mean_s,short_ibi_cv,ext_rate_per_min,ext_mean_dur_s,ext_ibi_mean_s,ext_ibi_cv
HUST-LEBW\Video (39).avi,noisy,120.0,0.3333333333333333,,,120.0,0.3333333333333333,,
HUST-LEBW\Video (4).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (40).avi,noisy,327.2727272727273,0.36666666666666664,0.3333333333333333,0.0,327.2727272727273,0.36666666666666664,0.3333333333333333,0.0
HUST-LEBW\Video (41).avi,noisy,112.5,0.1,,,112.5,0.1,,
HUST-LEBW\Video (42).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (43).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (44).avi,noisy,36.734693877551024,0.8733333333333334,2.033333333333333,0.8141618060222306,36.734693877551024,0.8733333333333334,2.033333333333333,0.8141618060222306
HUST-LEBW\Video (45).avi,noisy,189.47368421052633,0.26666666666666666,0.6,0.0,189.47368421052633,0.26666666666666666,0.6,0.0
HUST-LEBW\Video (46).avi,noisy,128.57142857142856,0.1,0.9,0.0,128.57142857142856,0.1,0.9,0.0
HUST-LEBW\Video (47).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (48).avi,noisy,54.54545454545455,0.2,,,54.54545454545455,0.2,,
HUST-LEBW\Video (49).avi,noisy,71.42857142857143,0.20666666666666664,1.0416666666666667,0.49748165795333604,71.42857142857143,0.20666666666666664,1.0416666666666667,0.49748165795333604
HUST-LEBW\Video (5).avi,noisy,39.130434782608695,0.45555555555555555,2.283333333333333,0.3722627737226277,39.130434782608695,0.45555555555555555,2.283333333333333,0.3722627737226277
HUST-LEBW\Video (50).avi,noisy,62.06896551724138,0.16666666666666666,,,62.06896551724138,0.16666666666666666,,
HUST-LEBW\Video (51).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (52).avi,noisy,180.0,0.13333333333333333,,,180.0,0.13333333333333333,,
HUST-LEBW\Video (53).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (54).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (55).avi,noisy,112.5,0.1,,,112.5,0.1,,
HUST-LEBW\Video (56).avi,noisy,112.5,0.3833333333333333,1.0333333333333334,0.0,112.5,0.3833333333333333,1.0333333333333334,0.0
HUST-LEBW\Video (57).avi,noisy,58.064516129032256,0.1,,,58.064516129032256,0.1,,
HUST-LEBW\Video (58).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (59).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (6).avi,noisy,45.0,0.23333333333333334,,,45.0,0.23333333333333334,,
HUST-LEBW\Video (60).avi,noisy,44.81327800829875,0.31666666666666665,1.6,0.9474014167418393,44.81327800829875,0.31666666666666665,1.6,0.9474014167418393
HUST-LEBW\Video (61).avi,noisy,90.0,0.1,,,90.0,0.1,,
HUST-LEBW\Video (62).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (63).avi,noisy,54.54545454545455,0.1,,,54.54545454545455,0.1,,
HUST-LEBW\Video (64).avi,noisy,56.25,0.15,2.1,0.0,56.25,0.15,2.1,0.0
HUST-LEBW\Video (65).avi,noisy,138.46153846153845,0.2833333333333333,0.8333333333333334,0.0,138.46153846153845,0.2833333333333333,0.8333333333333334,0.0
HUST-LEBW\Video (66).avi,noisy,1800.0,0.1,,,1800.0,0.1,,
HUST-LEBW\Video (67).avi,noisy,120.0,0.13333333333333333,,,120.0,0.13333333333333333,,
HUST-LEBW\Video (68).avi,noisy,40.909090909090914,0.6,,,40.909090909090914,0.6,,
HUST-LEBW\Video (69).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (7).avi,noisy,29.032258064516128,0.13333333333333333,,,29.032258064516128,0.13333333333333333,,
HUST-LEBW\Video (70).avi,noisy,450.0,0.23333333333333334,,,450.0,0.23333333333333334,,
HUST-LEBW\Video (71).avi,noisy,64.86486486486486,0.425,1.2222222222222223,0.3039682454054634,64.86486486486486,0.425,1.2222222222222223,0.3039682454054634
HUST-LEBW\Video (72).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (73).avi,noisy,103.84615384615384,0.12222222222222223,0.85,0.6078431372549019,103.84615384615384,0.12222222222222223,0.85,0.6078431372549019
HUST-LEBW\Video (74).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (75).avi,noisy,163.63636363636365,0.13333333333333333,0.7,0.0,163.63636363636365,0.13333333333333333,0.7,0.0
HUST-LEBW\Video (76).avi,noisy,58.064516129032256,0.2,,,58.064516129032256,0.2,,
HUST-LEBW\Video (77).avi,noisy,163.63636363636365,0.16666666666666666,,,163.63636363636365,0.16666666666666666,,
HUST-LEBW\Video (78).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (79).avi,noisy,300.0,0.43333333333333335,,,300.0,0.43333333333333335,,
HUST-LEBW\Video (8).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (80).avi,noisy,128.57142857142856,0.1,,,128.57142857142856,0.1,,
HUST-LEBW\Video (81).avi,noisy,128.57142857142856,0.16666666666666666,,,128.57142857142856,0.16666666666666666,,
HUST-LEBW\Video (82).avi,noisy,112.5,0.1,,,112.5,0.1,,
HUST-LEBW\Video (83).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (84).avi,noisy,78.26086956521739,0.1,,,78.26086956521739,0.1,,
HUST-LEBW\Video (85).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (86).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (87).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (88).avi,noisy,112.5,0.13333333333333333,,,112.5,0.13333333333333333,,
HUST-LEBW\Video (89).avi,noisy,360.0,0.6,,,360.0,0.6,,
HUST-LEBW\Video (9).avi,noisy,174.19354838709674,0.2111111111111111,0.5,0.19999999999999996,174.19354838709674,0.2111111111111111,0.5,0.19999999999999996
HUST-LEBW\Video (90).avi,noisy,138.46153846153845,0.2,,,138.46153846153845,0.2,,
