env,ext_ibi_cv,ext_ibi_mean_s,ext_mean_dur_s,ext_rate_per_min,short_ibi_cv,short_ibi_mean_s,short_mean_dur_s,short_rate_per_min,video
noisy,,,0.3333333333333333,180.0,,,0.3333333333333333,180.0,HUST-LEBW\Video (30).avi
noisy,,,0.3,150.0,,,0.3,150.0,HUST-LEBW\Video (31).avi
noisy,,,0.1333333333333333,112.5,,,0.1333333333333333,112.5,HUST-LEBW\Video (32).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (33).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (34).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (35).avi
noisy,0.0,0.4,0.1166666666666666,276.9230769230769,0.0,0.4,0.1166666666666666,276.9230769230769,HUST-LEBW\Video (36).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (37).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (38).avi
noisy,,,0.3333333333333333,120.0,,,0.3333333333333333,120.0,HUST-LEBW\Video (39).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (4).avi
noisy,0.0,0.3333333333333333,0.3666666666666666,327.2727272727273,0.0,0.3333333333333333,0.3666666666666666,327.2727272727273,HUST-LEBW\Video (40).avi
noisy,,,0.1,112.5,,,0.1,112.5,HUST-LEBW\Video (41).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (42).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (43).avi
noisy,0.8141618060222306,2.033333333333333,0.8733333333333334,36.734693877551024,0.8141618060222306,2.033333333333333,0.8733333333333334,36.734693877551024,HUST-LEBW\Video (44).avi
noisy,0.0,0.6,0.2666666666666666,189.47368421052636,0.0,0.6,0.2666666666666666,189.47368421052636,HUST-LEBW\Video (45).avi
noisy,0.0,0.9,0.1,128.57142857142856,0.0,0.9,0.1,128.57142857142856,HUST-LEBW\Video (46).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (47).avi
noisy,,,0.2,54.54545454545455,,,0.2,54.54545454545455,HUST-LEBW\Video (48).avi
noisy,0.497481657953336,1.0416666666666667,0.2066666666666666,71.42857142857143,0.497481657953336,1.0416666666666667,0.2066666666666666,71.42857142857143,HUST-LEBW\Video (49).avi
noisy,0.3722627737226277,2.283333333333333,0.4555555555555555,39.130434782608695,0.3722627737226277,2.283333333333333,0.4555555555555555,39.130434782608695,HUST-LEBW\Video (5).avi
noisy,,,0.1666666666666666,62.06896551724138,,,0.1666666666666666,62.06896551724138,HUST-LEBW\Video (50).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (51).avi
noisy,,,0.1333333333333333,180.0,,,0.1333333333333333,180.0,HUST-LEBW\Video (52).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (53).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (54).avi
noisy,,,0.1,112.5,,,0.1,112.5,HUST-LEBW\Video (55).avi
noisy,0.0,1.0333333333333334,0.3833333333333333,112.5,0.0,1.0333333333333334,0.3833333333333333,112.5,HUST-LEBW\Video (56).avi
noisy,,,0.1,58.064516129032256,,,0.1,58.064516129032256,HUST-LEBW\Video (57).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (58).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (59).avi
noisy,,,0.2333333333333333,45.0,,,0.2333333333333333,45.0,HUST-LEBW\Video (6).avi
noisy,0.9474014167418392,1.6,0.3166666666666666,44.81327800829875,0.9474014167418392,1.6,0.3166666666666666,44.81327800829875,HUST-LEBW\Video (60).avi
noisy,,,0.1,90.0,,,0.1,90.0,HUST-LEBW\Video (61).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (62).avi
noisy,,,0.1,54.54545454545455,,,0.1,54.54545454545455,HUST-LEBW\Video (63).avi
noisy,0.0,2.1,0.15,56.25,0.0,2.1,0.15,56.25,HUST-LEBW\Video (64).avi
noisy,0.0,0.8333333333333334,0.2833333333333333,138.46153846153845,0.0,0.8333333333333334,0.2833333333333333,138.46153846153845,HUST-LEBW\Video (65).avi
noisy,,,0.1,1800.0,,,0.1,1800.0,HUST-LEBW\Video (66).avi
noisy,,,0.1333333333333333,120.0,,,0.1333333333333333,120.0,HUST-LEBW\Video (67).avi
noisy,,,0.6,40.909090909090914,,,0.6,40.909090909090914,HUST-LEBW\Video (68).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (69).avi
noisy,,,0.1333333333333333,29.032258064516128,,,0.1333333333333333,29.032258064516128,HUST-LEBW\Video (7).avi
noisy,,,0.2333333333333333,450.0,,,0.2333333333333333,450.0,HUST-LEBW\Video (70).avi
noisy,0.3039682454054634,1.2222222222222223,0.425,64.86486486486486,0.3039682454054634,1.2222222222222223,0.425,64.86486486486486,HUST-LEBW\Video (71).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (72).avi
noisy,0.6078431372549019,0.85,0.1222222222222222,103.84615384615384,0.6078431372549019,0.85,0.1222222222222222,103.84615384615384,HUST-LEBW\Video (73).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (74).avi
noisy,0.0,0.7,0.1333333333333333,163.63636363636363,0.0,0.7,0.1333333333333333,163.63636363636363,HUST-LEBW\Video (75).avi
noisy,,,0.2,58.064516129032256,,,0.2,58.064516129032256,HUST-LEBW\Video (76).avi
noisy,,,0.1666666666666666,163.63636363636363,,,0.1666666666666666,163.63636363636363,HUST-LEBW\Video (77).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (78).avi
noisy,,,0.4333333333333333,300.0,,,0.4333333333333333,300.0,HUST-LEBW\Video (79).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (8).avi
noisy,,,0.1,128.57142857142856,,,0.1,128.57142857142856,HUST-LEBW\Video (80).avi
noisy,,,0.1666666666666666,128.57142857142856,,,0.1666666666666666,128.57142857142856,HUST-LEBW\Video (81).avi
noisy,,,0.1,112.5,,,0.1,112.5,HUST-LEBW\Video (82).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (83).avi
noisy,,,0.1,78.26086956521739,,,0.1,78.26086956521739,HUST-LEBW\Video (84).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (85).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (86).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (87).avi
noisy,,,0.1333333333333333,112.5,,,0.1333333333333333,112.5,HUST-LEBW\Video (88).avi
noisy,,,0.6,360.0,,,0.6,360.0,HUST-LEBW\Video (89).avi
noisy,0.1999999999999999,0.5,0.2111111111111111,174.19354838709674,0.1999999999999999,0.5,0.2111111111111111,174.19354838709674,HUST-LEBW\Video (9).avi
noisy,,,0.2,138.46153846153845,,,0.2,138.46153846153845,HUST-LEBW\Video (90).avi
controlled,0.7039324117786401,2.813333333333333,0.3376344086021505,20.666666666666668,0.5977531676018474,3.276190476190476,0.2666666666666666,16.0,s000_blink_labels.csv
controlled,1.3101405584018964,1.3833333333333333,0.1917948717948717,43.333333333333336,1.7372530736449732,0.6444444444444445,0.1162790697674418,86.0,s001_blink_labels.csv
controlled,0.5267682244424221,2.638383838383838,0.1490196078431372,22.666666666666664,0.4713590066106798,3.0037037037037035,0.13,20.0,s002_blink_labels.csv
controlled,0.8370889888217453,3.259259259259258,0.4833333333333333,18.666666666666668,0.7627216914260471,4.74,0.35,12.0,s003_blink_labels.csv
controlled,0.7601767380512614,2.856989247311828,0.103125,21.333333333333336,0.6855978737163968,2.5,0.1055555555555555,24.0,s004_blink_labels.csv
controlled,0.793494087419089,3.144444444444444,0.1761904761904761,18.666666666666668,0.4960108587665173,2.672222222222222,0.2999999999999999,14.0,s005_blink_labels.csv
controlled,1.0176049368526645,5.876190476190476,1.5755555555555556,10.0,0.7451541853477007,5.566666666666666,0.2733333333333333,10.0,s006_blink_labels.csv
controlled,0.7601006237903177,0.564525993883792,0.0672727272727272,102.64385692068429,0.6994661535121429,0.542,0.0607843137254901,102.0,s007_blink_labels.csv
controlled,0.5401110247453987,5.921428571428572,0.788888888888889,10.0,0.4046645834515223,4.788888888888889,0.3095238095238096,14.0,s008_blink_labels.csv
controlled,0.8666953223061891,7.775757575757575,0.1361111111111111,8.0,0.4465422205519468,7.98888888888889,0.125,8.0,s009_blink_labels.csv
controlled,0.6082120657677857,4.603921568627452,0.1592592592592592,12.0,0.0481248965988398,7.944444444444445,0.2166666666666666,8.0,s010_blink_labels.csv
controlled,0.6190730500518536,3.568333333333334,0.3063492063492063,14.0,0.5568745080037665,3.046666666666667,0.4111111111111111,12.0,s011_blink_labels.csv
controlled,1.0589801897847475,1.278125,0.3626262626262626,46.77165354330708,0.8599707411991933,1.7770833333333331,0.384313725490196,34.0,s012_blink_labels.csv
controlled,0.953517273835174,5.83,0.206060606060606,7.333333333333333,,,0.4,2.0,s013_blink_labels.csv
controlled,0.8585320690115783,2.428703703703704,0.1153153153153153,24.666666666666664,1.0349694259949258,3.122222222222222,0.0933333333333333,20.0,s014_blink_labels.csv
controlled,0.8211599838761058,3.331746031746032,0.6606060606060605,17.870036101083034,0.748978330808338,2.9433333333333334,0.9484848484848484,22.0,s015_blink_labels.csv
controlled,0.8713615927534704,8.980952380952383,0.3416666666666667,5.333333333333334,0.7268292682926829,13.666666666666668,0.0777777777777777,6.0,s016_blink_labels.csv
